IES,Semestre,Materia,Disciplina,Ementa,,,
universidade de brasília – faculdade de ceilândia,8,marketing pessoal e profissional,processo de trabalho e relacionamento interpessoal,"aborda os referenciais teóricos norteadores do processo de trabalho em saúde/enfermagem, os instrumentos para o trabalho em grupo. apresenta as dimensões teóricas e metodológicas do relacionamento interpessoal no processo de cuidar em saúde e enfermagem/ saúde. busca desenvolver competências e habilidades valorizando a clínica do sujeito, o planejamento da sistematização da relação de ajuda e a cooperação no trabalho na equipe trabalho coletivo em saúde.",458,,
universidade de brasília – faculdade de ceilândia,3,enfermagem em saúde coletiva,saúde e sociedade 1: introdução às ciências sociais,"processos sócio históricos modernos e contemporâneos que conformaram o pensamento científico atual. conceitos básicos das ciências sociais, em especial aplicados à saúde. processo saúde-doença enquanto um processo social e, por consequência, a compreensão do trabalho do profissional da saúde como uma prática social, que produz e reproduz a sociedade em todos os seus planos (gerais regionais e locais). inserção do estudante em seu contexto social, cultural e político, como forma de contribuir para sua auto percepção como agente e sujeito de sua própria história.",567,,
universidade de brasília – faculdade de ceilândia,3,enfermagem em saúde coletiva,saúde e sociedade 2: construção social do processo saúde doença,"apresenta as formas contemporâneas de socialização, controle social, diferenciação social, formação de grupos. destaca como a cultura e os determinantes sociais conformam as concepções sobre o processo saúde-adoecimento. traz a discussão clássica e contemporânea sobre a relação entre o biológico/social e natureza/cultura, as noções básicas e o contexto histórico do surgimento da bioética, com destaque para os reflexos das questões bioéticas na pesquisa em saúde e na prática profissional em saúde.",501,,
universidade de brasília – faculdade de ceilândia,8,gerenciamento em enfermagem,teorias e modelos de administração,"apresenta o contexto histórico do surgimento da teoria geral da administração. partindo das teorias administrativas e dos novos modelos de gestão são identificados os seus aspectos críticos, oportunidade em que são discutidas, também, propostas de estratégias para o desenvolvimento da prática cotidiana no mundo do trabalho.",325,,
universidade de brasília – faculdade de ceilândia,2,metodologia científica,introdução à pesquisa científica,"a leitura como método, a compreensão do conceito de ciência, a natureza do conhecimento cientifico, o método cientifico, as normas para a apresentação de trabalhos científicos.",176,,
universidade de brasília – faculdade de ceilândia,2,políticas públicas e atenção primária à saúde,políticas e sistemas de serviços de saúde,apresenta a constituição da ciência política e os fundamentos teóricos das políticas públicas e sociais. discute o papel do estado e cidadania e participação social no campo da saúde. faz um resgate histórico da formação dos movimentos sociais e dos sujeitos políticos na luta pelo direito à saúde no brasil.,308,,
universidade de brasília – faculdade de ceilândia,10,Trabalho de conclusão de curso,trabalho de conclusão de curso 1,"formulação do projeto de pesquisa, apoiado em métodos e técnicas de pesquisa correspondentes, objetivando fornecer subsídios teórico-metodológicos necessários à elaboração do projeto de pesquisa.",195,,
universidade de brasília – faculdade de ceilândia,10,Trabalho de conclusão de curso,trabalho de conclusão de curso 2,"a partir da formulação do projeto de pesquisa na disciplina tfc 1, apoiado em métodos e técnicas de pesquisa correspondentes, objetivando oferecer ajuda e estímulo teórico-metodológico complementar à execução e apresentação do projeto de pesquisa.",247,,
universidade do vale do rio dos sinos,5,ética e bioética em saúde,ética profissional na enfermagem,"irá refletir acerca da bioética e dos princípios éticos e morais normativos da profissão em enfermagem, lei do exercício profissional, código de ética de enfermagem, legislação, entidades de classe na enfermagem, entre outros instrumentos legais no âmbito da profissão. discutirá e problematizará dilemas e conflitos éticos atuais que compreendem o processo de saúde e doença.",376,,
universidade do vale do rio dos sinos,4,farmacologia geral,farmacologia clínica na enfermagem,"nessa atividade acadêmica será abordada a legislação dos fármacos, considerando os vários cenários onde o enfermeiro realiza o cuidado centrada no individuo, observando as alterações nos sistemas vitais do organismo, correlacionando com situações da prática de enfermagem na administração de medicamentos.",305,,
universidade do vale do rio dos sinos,4,farmacologia geral,fundamentos em farmacologia,"compreenderá os conceitos básicos de farmacologia, bem como a correlação dos aspectos clínicos e farmacoterapêuticos de diferentes patologias, toxicidade e interações medicamentosas. a experiência de aprendizagem ocorre por meio de encontros presenciais.",254,,
universidade do vale do rio dos sinos,3,Estação de Aprendizado_I,bases fundamentais no cuidado de enfermagem na rede de atenção à saúde,"desenvolver competências para a realização do cuidado nos diferentes ciclos da vida, com ênfase nas técnicas fundamentais de enfermagem. a experiência de aprendizagem envolve aulas presenciais em sala de aula, em laboratórios de simulação, e atividades teórico-práticas em diferentes pontos de cuidado da rede de atenção à saúde (ras).",335,,
universidade do vale do rio dos sinos,6,Estação de Aprendizado_IV,bases teóricas no processo de enfermagem,"compreender diferentes teorias e o processo de enfermagem como modelo metodológico que organiza o cuidado dos indivíduos nos diferentes ciclos de vida, valorizando a autonomia do/a enfermeiro/a, aplicando as diferentes taxonomias de diagnóstico, resultados e intervenções de enfermagem (nanda, cipe, noc, nic). a experiência de aprendizagem envolve aulas presenciais e síncrono-remotas – com o uso de plataforma digital e atividades interacionais.",447,,
universidade do vale do rio dos sinos,3,enfermagem em saúde coletiva,controle de infecção na enfermagem,"desenvolverá competências para o cuidado, prevenção e controle da infecção hospitalar, considerando as diretrizes e critérios de cuidado, conceitos e diagnósticos, bem como as infecções mais prevalentes nos cenários do cuidado a saúde, destacando o papel da enfermagem neste contexto.",284,,
universidade do vale do rio dos sinos,7,Estação de Aprendizado_V,desenvolvimento pessoal e profissional,compreender o conceito de pessoa a partir da perspectiva multidimensional. assumir a formação integral e a educação transdisciplinar como princípios básicos do desenvolvimento pessoal e profissional. ter confiança em si e nos parceiros de estudo e trabalho visando um posicionamento engajado e criativo em relação à vida social e profissional. a experiência de aprendizagem se organiza em torno de encontros presenciais no campus.,430,,
universidade do vale do rio dos sinos,7,ações educativas em enfermagem,educação em saúde,"nesta atividade acadêmica será proposto que o estudante identifique e problematize as necessidades de saúde individuais e coletivas com foco na promoção em saúde, prevenção de doenças e agravos. proporcionará vivência de práticas pedagógicas e metodológicas como recursos para intervir e transformar os diferentes cenários com vistas a alcançar a saúde como direito humano.",373,,
universidade do vale do rio dos sinos,4,enfermagem em centro cirúrgico e central de material,enfermagem no cuidado perioperatório,"desenvolver as competências para o cuidado perioperatório, no contexto de centro cirúrgico e de recuperação pós-anestésica, considerando as necessidades de cuidado e a segurança do/a paciente. compreender os aspectos essenciais do funcionamento da central de material e esterilização. a experiência de aprendizagem envolve aulas presenciais, remotas e práticas nos laboratórios de simulação.",391,,
universidade do vale do rio dos sinos,6,bioestatistica e epidemiologia,epidemiologia,"nesta atividade acadêmica serão apresentados os principais métodos de pesquisa para a investigação de fatores relacionados à saúde das populações e coletividades humanas, além de critérios necessários para o estabelecimento de causalidade no processo de saúde e doença. abordará os parâmetros de confiabilidade de métodos diagnósticos, visando apoiar o processo clínico e decisório. ensinará como avaliar e calcular o efeito de exposições sobre a saúde humana.",460,,
universidade do vale do rio dos sinos,1,história e teoria da enfermagem,história e ciência da enfermagem,"conhecerá a universidade, o curso de enfermagem e os diferentes contextos de atuação profissional do enfermeiro. estudará o contexto histórico da enfermagem como profissão e ciência do cuidado humano.",200,,
universidade do vale do rio dos sinos,3,Semiologia e Semiotécnica Aplicada à Enfermagem,semiologia e semiotécnica na enfermagem,"compreender os princípios da entrevista e do exame físico aplicado em indivíduos nos diferentes ciclos de vida e em diferentes cenários de cuidado, embasando o raciocínio clínico e a tomada de decisão no cuidado de enfermagem, respaldado pelo processo de enfermagem. a experiência de aprendizagem envolve aulas presenciais em sala de aula, laboratórios de simulação e atividades teórico-práticas em hospital.",408,,
universidade do vale do rio dos sinos,7,enfermagem em trauma e emergência,enfermagem no cuidado ao adulto crítico na rede de urgência e emergência,"desenvolver competências para o cuidado à pessoa criticamente enferma na rede de urgência e emergência (rue), considerando as tecnologias de cuidado, de forma humanizada e inclusiva, fundamentadas no raciocínio clínico e na ética profissional. a experiência de aprendizagem envolve atividades presenciais em sala de aula, laboratórios de simulação e atividades teórico-práticas em diferentes pontos de cuidado na rue.",417,,
universidade do vale do rio dos sinos,5,enfermagem em saúde do adulto,enfermagem no cuidado ao adulto na rede de atenção à saúde,"desenvolver as competências para o cuidado do adulto, da família e da comunidade, assim como compreender as doenças e os agravos crônicos não transmissíveis mais prevalentes, as necessidades de saúde, e as tecnologias de cuidado. a experiência de aprendizagem envolve atividades presenciais em sala de aula, laboratórios de simulação e atividades teórico-práticas em diferentes pontos de cuidado da rede de atenção à saúde (ras).",429,,
universidade do vale do rio dos sinos,6,enfermagem em saúde da criança e do adolescente,enfermagem no cuidado à criança e ao adolescente na rede de atenção à saúde,"desenvolver competências para o cuidado às crianças, aos/às adolescentes e sua família na rede de atenção à saúde (ras), considerando as fases do crescimento e desenvolvimento, suas necessidades de saúde, as tecnologias de cuidado e a garantia dos direitos humanos. a experiência de aprendizagem envolve atividades presenciais em sala de aula, laboratórios de simulação e atividades teórico-práticas em diferentes pontos de cuidado da ras.",439,,
universidade do vale do rio dos sinos,6,enfermagem em saúde da mulher e do recém nascido,enfermagem no cuidado à mulher e ao recém-nascido na rede de atenção à saúde,"conhecer as políticas e os programas públicos na área da saúde da mulher e do/a recém-nascido/a, assim como o cuidado à mulher nos diferentes ciclos de vida, tendo por base questões de gênero, direitos humanos, sexuais e reprodutivos. desenvolver competências para o cuidado da mulher no pré-natal, parto, nascimento, puerpério e climatério, bem como ao/à recém-nascido/a e sua família. a experiência de aprendizagem envolve atividades presenciais em sala de aula, laboratórios de simulação e atividades teórico-práticas em diferentes pontos de cuidado da rede de atenção à saúde (ras).",586,,
universidade do vale do rio dos sinos,10,estágio curricular supervisionado em assistência de enfermagem em ambulatório,estágio curricular na atenção especializada,"compreenderá e identificará as necessidades individuais e coletivas com práticas inclusivas, humanizadas e seguras na atenção especializada. desenvolverá atividades de enfermagem considerando as dimensões do cuidado, da gestão e da educação permanente em saúde (eps). planejará, executará e avaliará projetos de intervenção frente às diferentes realidades dos serviços especializados. promoverá o cuidado interprofissional ético, político e técnico-científico.",460,,
universidade do vale do rio dos sinos,9,estágio curricular supervisionado de assistência de enfermagem hospitalar,estágio curricular na atenção hospitalar,"desenvolverá competências para compreender e identificar as necessidades individuais e coletivas do indivíduo na atenção hospitalar, considerando as dimensões do cuidado, da gestão e da educação permanente em saúde. planejará, executará e avaliará projetos de intervenção frente às diferentes realidades dos serviços hospitalares. promoverá o cuidado interprofissional ético, político e técnico-científico.",406,,
universidade do vale do rio dos sinos,9,estágio curricular supervisionado de enfermagem em práticas integrativas de cuidado,estágio curricular na atenção primária em saúde,"compreenderá e identificará as necessidades individuais e coletivas com práticas inclusivas, humanizadas e seguras na atenção primária à saúde. desenvolverá atividades de enfermagem considerando as dimensões do cuidado, da gestão e da educação permanente em saúde (eps). planejará, executará e avaliará projetos de intervenção frente às diferentes realidades dos serviços de saúde. promoverá o cuidado interprofissional ético, político e técnico-científico.",457,,
universidade do vale do rio dos sinos,5,enfermagem em saúde do idoso,enfermagem no cuidado ao idoso na rede de atenção à saúde,"compreender os aspectos biopsicossociais e culturais do envelhecimento humano, assim como tecnologias de cuidado ao/à idoso/a e sua família no contexto individual, comunitário e institucional. desenvolver competências de abordagem multidimensional e interdisciplinar do cuidado à pessoa idosa. a experiência de aprendizagem envolve atividades presenciais em sala de aula, laboratórios de simulação e atividades teórico-práticas em diferentes pontos de cuidado da rede de atenção à saúde (ras).",493,,
universidade do vale do rio dos sinos,2,fisiologia humana,estudos e práticas em fisiologia neuroendócrina e musculoesquelética,"aprenderá os princípios fundamentais que determinam o funcionamento dos sistemas biológicos nos seres vivos. por meio de uma metodologia integrada, serão explorados os processos fisiológicos em nível celular, tecidual e sistêmico, bem como suas interações e adaptações às diversas condições ambientais e desafios dos sistemas nervoso, endócrino e musculoesquelético. a experiência de aprendizagem ocorre por meio de encontros presenciais.",438,,
universidade do vale do rio dos sinos,7,enfermagem em saúde mental e psiquiátrica,enfermagem no cuidado à saúde mental na rede de atenção psicossocial,"desenvolver as competências para o cuidado à pessoa na rede de atenção psicossocial (raps), considerando os norteadores da reforma psiquiátrica, o modelo de atenção psicossocial, as tecnologias de cuidado e a garantia dos direitos humanos. a experiência de aprendizagem envolve atividades presenciais em sala de aula, laboratórios de simulação e atividades teórico-práticas em diferentes pontos de cuidado da rede de atenção psicossocial (raps).",445,,
universidade do vale do rio dos sinos,6,enfermagem em doenças tropicais e transmissíveis,estudo de doenças transmissíveis e seu contexto global,"conhecer doenças transmissíveis, emergentes e reemergentes. compreender os aspectos epidemiológicos, fisiopatogênicos, de diagnóstico e de tratamento, a relação entre saúde e meio ambiente. estabelecer correlações entre doenças infecciosas e parasitárias e as condições sociais, econômicas e culturais no contexto da saúde global. a experiência de aprendizagem envolve aulas no formato a distância com encontros síncronos quinzenais, e uso de plataforma com conteúdo autoral.",475,,
universidade do vale do rio dos sinos,6,gestão e empreendedorismo,gestão em saúde e enfermagem,"refletir acerca da bioética e dos princípios éticos e morais normativos da profissão enfermagem, da lei do exercício profissional, do código de ética de enfermagem, da legislação, de entidades de classe na enfermagem, entre outros instrumentos legais. discutir e problematizar dilemas e conflitos éticos atuais que compreendem o processo de saúde e doença. as aulas acontecerão a distância com encontros síncronos quinzenais e por meio do uso de plataforma com conteúdo autoral.",478,,
universidade do vale do rio dos sinos,10,Trabalho de conclusão de curso,gêneros de divulgação científica,"a experiência de aprendizagem envolve aulas presenciais para compreender e produzir textos de diferentes gêneros que propiciem a divulgação da ciência, de acordo com os domínios em que se inserem e os públicos a que se destinam, considerando categorias do discurso e da língua. além disso, a trajetória inclui identificar e analisar necessidades de produção e adequação da linguagem às características do suporte de veiculação de materiais de divulgação da ciência.",465,,
universidade do vale do rio dos sinos,2,metodologia científica,práticas de pesquisas em saúde,"desenvolver competências para a investigação científica, considerando os diferentes delineamentos de pesquisa, análise de dados, e as possibilidades de proposta de intervenções para subsidiar a prática na área de atuação profissional. a experiência de aprendizagem será autodirigida com mentoria do/a professor/a em projetos de diferentes níveis de complexidade.",362,,
universidade do vale do rio dos sinos,10,Trabalho de conclusão de curso,projeto aplicado 1,"desenvolver uma proposta de projeto de forma escrita e gráfica. projetar de maneira crítica e criativa as etapas de criação e elaboração da proposta de pesquisa e trabalho. elaborar o cronograma de tarefas para os projetos aplicados 1 e 2, prospectando continuidade e finalização. a experiência de aprendizagem envolve encontros com o/a professor/a orientador/a e a produção conceitual e textual a partir de pesquisa e reflexão. para cursar a atividade acadêmica, é necessário ter concluído 2/3 da carga horária do curso.",521,,
universidade do vale do rio dos sinos,10,Trabalho de conclusão de curso,projeto aplicado 2,"executar o projeto elaborado em projeto aplicado i. aplicar conhecimentos com foco na inovação, para o desenvolvimento da proposta relacionada à comunicação digital. operar um projeto em todas as suas fases: problematização, concepção, desenvolvimento analítico, expressão formal e comunicacional. desenvolver, de acordo com as características específicas do projeto realizado, uma forma apropriada para apresentá-lo. a experiência de aprendizagem envolve encontros com o/a professor/a orientador/a e a produção do projeto aplicado. para cursá-la, é preciso ter concluído “projeto aplicado i”.",593,,
universidade do vale do rio dos sinos,2,políticas públicas e atenção primária à saúde,cuidado à saúde do trabalhador,"nesta atividade acadêmica serão desenvolvidas as competências de gestão da saúde de pessoas, considerando o profissional como líder de equipes, mas também na perspectiva de trabalhador, reconhecendo, avaliando, e controlando os perigos e riscos aos quais está submetido nos diversos postos de trabalho, com o objetivo de gerar intervenções em prol de ambientes saudáveis e seguros para outros trabalhadores, inclusive no âmbito do sus. as aulas acontecerão de forma presencial online síncronas com uso de plataforma digital e diversas atividades interacionais.",560,,
universidade do vale do rio dos sinos,3,enfermagem em saúde coletiva,saúde coletiva,"nesta atividade acadêmica, serão abordados os campos da saúde coletiva e da saúde pública na perspectiva do sistema único de saúde (sus) e da organização das redes de atenção à saúde (ras). retratará os marcos históricos e conceituais na evolução do processo de saúde e adoecimento das coletividades. desenvolverá reflexões críticas sobre as políticas, práticas de saúde e determinação social em saúde.",402,,
universidade federal de juiz de fora,5,ética e bioética em saúde,ética e legislação em enfermagem,"estuda a dimensão ético-legal da atuação profissional da enfermagem, os instrumentos e princípios ético-legais que norteiam a prática profissional da enfermagem. analisa os aspectos éticos e legais envolvidos na atuação profissional da enfermagem, para o desenvolvimento de postura críticoreflexiva como condição para assunção de condutas éticas.",347,,
universidade federal de juiz de fora,5,ética e bioética em saúde,ética geral e profissional,"ética, moral e deontologia. debates éticos contemporâneos. as profissões. ética profissional na atualidade.",107,,
universidade federal de juiz de fora,5,ética e bioética em saúde,"indivíduo, saúde e sociedade","o indivíduo como célula fundamental da sociedade em seus aspectos éticoraciais, culturais e humanísticos. a prática social da saúde e a sociedade brasileira em construção. a saúde na sociedade capitalista contemporânea e as novas racionalidades do cuidado à saúde. o debate social em saúde e os movimentos sociais",314,,
universidade federal de juiz de fora,5,ética e bioética em saúde,sociologia da saúde,"breve histórico da sociologia. questões temáticas de interesse para a psicologia: a doença mental, o desvio, opoder etc.",120,,
universidade federal de juiz de fora,5,farmacologia clínica,farmacologia aplicada à enfermagem,"a disciplina irá contemplar o estudo de fármacos e medicamentos sob diversos aspectos, deste as propriedades físico-químicas, conhecimento dos princípios de absorção, distribuição, biotransformação e a eliminação das drogas, seu mecanismo de ação molecular e usos terapêuticos com ênfase na sua aplicação em farmacologia clínica ligada ao âmbito da profissão de enfermeiro. serão observados constantemente os princípios básicos que regem o uso racional de medicamentos, os efeitos adversos e tóxicos de fármacos e sua interação com os sistemas de sinalização celular endógenos. estudo do uso correto de drogas agonistas e antagonistas. estudo de diversos grupos farmacológicos como: fármacos que atuam no sistema nervoso, anti-hipertensivos, antimicrobianos, analgésicos, anti-inflamatórios, entre outros.",805,,
universidade federal de juiz de fora,2,fisiologia humana,fisiologia humana i,introdução à fisiologia do sistema neuroendócrino,49,,
universidade federal de juiz de fora,2,fisiologia humana,fisiologia humana ii,"fisiologia dos sistemas cardiovascular, urinário, respiratório e digestório.",76,,
universidade federal de juiz de fora,4,Estação de Aprendizado_II,fundamentos e tecnologias do cuidar em enfermagem i,"estuda princípios que fundamentam os procedimentos básicos de enfermagem, a semiologia do exame físico de enfermagem, inclui as técnicas de biossegurança, de aferição de sinais vitais, de administração de medicamentos, de posicionamento e segurança de pacientes. introduz o tema da assistência de enfermagem na morte e terminalidade. relaciona esses princípios com a responsabilidade legal e ética do exercício profissional.",424,,
universidade federal de juiz de fora,4,Estação de Aprendizado_II,fundamentos e tecnologias do cuidar em enfermagem ii,"ensino teórico-prático das técnicas fundamentais para assistência de enfermagem. documentação e comunicação relacionadas a assistência à saúde. processo de enfermagem e teorias de enfermagem. medidas de biossegurança. aspectos éticos, socioculturais, étnico-raciais no relacionamento humano.",291,,
universidade federal de juiz de fora,4,Estação de Aprendizado_II,fundamentos e tecnologias do cuidar em enfermagem iii,"a disciplina apresenta e discute os saberes e práticas referentes ao processamento de produtos para a saúde (pps), incluindo todas as suas etapas: recepção, limpeza, desinfecção, inspeção, preparo, esterilização, armazenamento, distribuição e controle; tendo como eixo norteador, a atuação do enfermeiro no controle da infecção hospitalar. nessa perspectiva, discute-se a estrutura física do centro de material e esterilização (cme), seu funcionamento, os recursos humanos e materiais, destacando-se a atuação do enfermeiro. a disciplina alude, ainda, a monitoração da qualidade do processo de esterilização, a legislação normativa e as diretrizes nacionais relacionadas às boas práticas para o processamento de pps.",716,,
universidade federal de juiz de fora,4,Estação de Aprendizado_II,fundamentos e tecnologias do cuidar em enfermagem iii,"a disciplina apresenta e discute os saberes e práticas referentes ao processamento de produtos para a saúde (pps), incluindo todas as suas etapas: recepção, limpeza, desinfecção, inspeção, preparo, esterilização, armazenamento, distribuição e controle; tendo como eixo norteador, a atuação do enfermeiro no controle da infecção hospitalar. nessa perspectiva, discute-se a estrutura física do centro de material e esterilização (cme), seu funcionamento, os recursos humanos e materiais, destacando-se a atuação do enfermeiro. a disciplina alude, ainda, a monitoração da qualidade do processo de esterilização, a legislação normativa e as diretrizes nacionais relacionadas às boas práticas para o processamento de pps.",716,,
universidade federal de juiz de fora,3,Estação de Aprendizado_I,introdução à enfermagem,"evolução histórica da enfermagem, considerando os determinantes históricos, sociais, econômicos e as perspectivas da profissão no contexto das práticas de saúde. modelo da enfermagem brasileira. conformação da enfermagem como ciência e profissão. identidade profissional. divisão social do trabalho em enfermagem",312,,
universidade federal de juiz de fora,7,enfermagem em saúde mental e psiquiátrica,psicologia do desenvolvimento humano 1,"o campo da psicologia do desenvolvimento humano e a ciência do desenvolvimento humano. métodos de pesquisa em psicologia do desenvolvimento. desenvolvimento físico, cognitivo, afetivo-emocional e social na infância.",215,,
universidade federal de juiz de fora,7,enfermagem em saúde mental e psiquiátrica,psicologia do desenvolvimento humano 2,"desenvolvimento cognitivo, afetivo-emocional e social na adolescência, idade adulta e na velhice. abordagens integradoras do desenvolvimento ao longo do curso de vida.",167,,
universidade federal de juiz de fora,7,enfermagem em saúde mental e psiquiátrica,psicologia e saúde,"diferentes concepções de saúde/doença. determinantes biopsicossociais dos processos de saúde/doença. psicologia e medicalização. políticas públicas em saúde. o sistema unificado de saúde (sus). saúde mental. políticas públicas em saúde mental. a equipe de saúde e a questão das intervenções multi, inter e transdisciplinares. relação profissional de saúde-paciente-família. temas atuais em psicologia e saúde.",409,,
universidade federal de juiz de fora,7,enfermagem em saúde mental e psiquiátrica,psicologia e saúde nas instituições,"o modelo biopsicossocial em saúde. a psicologia e a ética na promoção, prevenção e reabilitação na saúde do indivíduo em diferentes instituições (trabalho, educação, saúde etc.). a atuação do psicólogo nas equipes de saúde das instituições: novas possibilidades de intervenção",276,,
universidade federal de juiz de fora,10,estágio curricular supervisionado em assistência de enfermagem em ambulatório,estágio curricular supervisionado i,"sistematização da assistência de enfermagem e gestão do processo de trabalho na atenção básica em saúde, com ênfase no programa saúde da família. construção e aprimoramento de conhecimentos, habilidades e atitudes essenciais ao exercício profissional da enfermagem, que tem como função integrar teoria e prática. trata-se de uma experiência de caráter educativo, que proporciona ao estudante a participação em situações reais de vida e trabalho, oportunizando a vivência do seu projeto de ser profissional articulado com as possibilidades inerentes à conformação dos cenários da prática, de maneira ética e corresponsável pelo desenvolvimento e melhoria da qualidade da assistência à saúde dos usuários dos serviços de saúde.",725,,
universidade federal de juiz de fora,9,estágio curricular supervisionado de enfermagem em práticas integrativas de cuidado,estágio curricular supervisionado ii,"vivências de situações reais da atenção secundária e terciária à saúde por alunos do curso de graduação que lhes permitem aplicar e aprofundar os conhecimentos na área de saúde e enfermagem e desenvolver as competências nas dimensões do cuidar, do administrar, do investigar e educar, objetivando a promoção e a prevenção de agravos à saúde.",341,,
universidade federal de juiz de fora,7,enfermagem em saúde mental e psiquiátrica,enfermagem em saúde mental – ensino à distância,"processo saúde-doença, enfocando o sofrimento psíquico em sua abrangência e complexidade, considerando as dimensões relacionadas à família e comunidade. abordagem às políticas de saúde mental nos diversos níveis de atenção à saúde. produção do conhecimento na ação e reflexão do cuidado de enfermagem aos indivíduos portadores de transtornos mentais. diretrizes políticas para a atenção em saúde mental. a prática da enfermagem no setor de saúde mental. caracterização dos serviços especializados e a assistência aos portadores de transtornos mentais, considerando os aspectos culturais e étnicoraciais.",604,,
universidade federal de juiz de fora,op,Nutrigao Aplicada a Enfermagem,fundamentos de nutrição e saúde,abordagem dos princípios da alimentação e da nutrição com foco na prática da equipe multiprofissional em saúde,110,,
universidade federal de juiz de fora,op,Nutrigao Aplicada a Enfermagem,Nutrição e saúde,"""Estudo dos princípios fundamentais da alimentação e nutrição, com ênfase na aplicação prática pela equipe multidisciplinar de saúde""",133,,
universidade federal de juiz de fora,2,metodologia científica,introdução à pesquisa,"a disciplina discorre sobre desenvolvimento da capacidade de leitura e interpretação, visando à confecção de estudos científicos. apresenta os fundamentos da pesquisa cientifica, considerando as demandas e necessidades prevalentes e prioritárias da população nos diversos níveis etários e sociodemográficos, como também os aspectos étnico-raciais e outras necessidades que demandam pesquisa e aplicação dos seus resultados na prática profissional. aborda os aspectos éticos e normativos para a construção de um estudo científico nos diversos tipos de pesquisa",559,,
universidade federal de juiz de fora,2,metodologia científica,metodologia do trabalho científico,pesquisa e construção do conhecimento. tipos de conhecimento. correntes do pensamento científico fundamentos teórico- metodológicos da ciência. metodologia científica. métodos. tipificação da pesquisa cientifica.,212,,
universidade federal de juiz de fora,5,educação ambiental e sustentabilidade,políticas públicas de saúde e meio ambiente,"trajetória histórica da saúde no brasil. determinantes sociais da saúde e o processo saúde-doença. o sistema único de saúde e a sua consolidação até os dias atuais. introduzir os alunos no campo e métodos mais utilizados no âmbito da saúde ambiental, assim como proporcionar subsídios de instrumentos para o planejamento de medidas de controle, a fim de reduzir riscos de enfermidades com base na produção da saúde humana e na vigilância ambiental.",448,,
universidade federal de juiz de fora,2,metodologia científica,práticas de gêneros acadêmicos,"gêneros acadêmicos escritos e orais. autoria, paráfrase e plágio no texto acadêmico.",84,,
universidade federal de juiz de fora,2,metodologia científica,práticas educativas em saúde,"estudo de saberes e perspectivas conceituais e empíricas que fundamentam práticas educativas; reflexão e engajamento crítico em relação a novas formas de ensinar e aprender: crenças, papéis, procedimentos e materiais. os processos de ensinar e aprender, para a formação de profissionais da saúde, à luz das peculiaridades do presente e do futuro; reflexão sobre a dificuldade de comunicação no trabalho em saúde, que impacta diretamente na saúde da população; discussão sobre os cuidados necessários ao elaborar materiais educativos em diferentes linguagens; diferentes tecnologias educacionais; formulação de instrumentos pedagógicos utilizando diferentes linguagens e tecnologias educacionais.",695,,
universidade federal de juiz de fora,2,metodologia científica,tópicos de investigação,"aplicação de conteúdos teórico metodológicos para formulação de um protocolo de pesquisa, definição do objeto de pesquisa e para a elaboração de um projeto. contextualização do objeto de estudo contendo introdução, objeto, problema de pesquisa, justificativa, objetivos, percurso metodológico, resultados, cronograma, orçamento, referencias, apêndices e anexos.",361,,
universidade federal de juiz de fora,10,Trabalho de conclusão de curso,trabalho de conclusão de curso i,"elaboração de projeto de pesquisa com seleção de tema de caráter científico, com aprofundamento em determinado assunto, utilização de metodologia cientifica, abrangendo aspectos teóricos e/ou práticos.",201,,
universidade federal de juiz de fora,10,Trabalho de conclusão de curso,trabalho de conclusão de curso ii,execução do projeto de pesquisa (coleta e análise dos dados) elaboração do relatório final. apresentação do relatório de pesquisa à banca examinadora.,150,,
universidade federal de juiz de fora,3,enfermagem em saúde coletiva,enfermagem em saúde coletiva,sistematiza a compreensão da saúde coletiva no sistema de saúde vigente. abordagem da saúde coletiva no contexto da atenção primária a saúde (aps) nos níveis de atenção. a vigilância em saúde como instrumento de planejamento e práticas de saúde.,245,,
universidade federal de mato grosso,5,farmacologia clínica,farmacologia clínica,"ensaios clínicos fases i, ii, ii e iv, estudos de bioequivalência, toxicologia e eficácia terapêutica.",102,,
universidade federal de mato grosso,5,farmacologia clínica,farmacologia i,farmacocinética. farmacodinâmica. mecanismos de ação de drogas. noções de farmacologia clínica e pré-clínica. farmacologia molecular. fármacos que afetam o sistema nervoso autônomo e motor. fármacos que afetam o sistema nervoso central. fármacos que afetam o sistema endócrino.,277,,
universidade federal de mato grosso,5,farmacologia clínica,farmacologia ii,"fármacos que afetam os sistemas: cardiovascular, gastrintestinal, respiratório, hematopoiético e excretor. fármacos antiinflamatórios e autacóides. fármacos quimioterápicos. interações entre fármacos. princípios básicos de toxicologia e de fitoterapia.",252,,
universidade federal de mato grosso,4,farmacologia geral,interações medicamentosas,"introdução aos mecanismos de interação. enzimas do citocromo p450. substratos, inibidores e indutores. interações fármaco-fármaco, fármaco-planta e fármaco- alimento.",166,,
universidade federal de mato grosso,2,fisiologia humana,fisiologia i,"introdução à fisiologia. meio interno e homeostasia. membrana plasmática e transporte através da membrana. bioeletrogênese e transmissão do impulso nervoso. fisiologia do sistema nervoso: sistema motor somático, somatossensorial e neurovegetativo. fisiologia do sistema muscular. bases da função endócrina.",306,,
universidade federal de mato grosso,2,fisiologia humana,fisiologia ii,"fisiologia dos sistemas cardiovascular; sangue respiratório, sistema urinário e sistema digestório.e líquidos corporais; sistema",128,,
